,,,,,,
,plot_id,species,n,h,Browsing,notes
,c01vip,Picea abies,1,2,0,
,c01vip,Corylus avellana,3,2,1,
,c01vip,Corylus avellana,4,1,1,
,c01vip,Corylus avellana,3,2,0,
,c01vip,Acer pseudoplatanus,7,1,0,
,c01vip,Picea abies,1,1,0,
,c01vip,Carpinus betulus,1,2,0,
,c01vip,Fraxinus excelsior,1,2,0,
,c01vip,Fraxinus excelsior,1,1,0,
,c01vip,Acer pseudoplatanus,4,1,0,
,c01vip,Carpinus betulus,2,1,0,
,c01vip,Corylus avellana,1,1,0,
,c01vip,Carpinus betulus,3,1,0,
,c01vip,Acer platanoides,1,1,0,
,c01vip,Acer pseudoplatanus,1,1,0,
,c01vip,Carpinus betulus,1,1,0,
,c01vip,Carpinus betulus,2,1,1,
,c01vip,Corylus avellana,5,2,0,
,c01vip,Corylus avellana,1,1,0,
,c01vip,Picea abies,1,2,0,
,c01vip,Corylus avellana,9,2,0,
,c01vip,Corylus avellana,2,1,0,
,c01vip,Acer pseudoplatanus,3,1,0,
,c01vip,Acer platanoides,1,1,0,
,c01vip,Carpinus betulus,1,2,0,
,c01vip,Quercus robur,1,1,0,
,c01vip,Acer pseudoplatanus,2,1,0,
,c01vip,Picea abies,1,2,0,
,c01vip,Corylus avellana,3,2,0,
,c01vip,Corylus avellana,2,1,1,
,c01vip,Corylus avellana,2,1,0,
,c01vip,Carpinus betulus,1,1,1,
,c01vip,Picea abies,1,2,0,
,c01vip,Picea abies,2,1,0,
,c01vip,Corylus avellana,2,1,1,
,c01vip,Corylus avellana,3,2,0,
,c01vip,Acer pseudoplatanus,2,1,0,
,c01vip,Corylus avellana,2,2,0,
,c01vip,Acer pseudoplatanus,1,1,0,
,c01vip,Acer platanoides,2,1,1,
,c01vip,Acer pseudoplatanus,2,1,1,
,c01vip,Corylus avellana,2,1,1,
,c01vip,Carpinus betulus,2,1,1,
,c01vip,Carpinus betulus,1,2,0,
,c01vip,Corylus avellana,1,1,0,
,c01vip,Corylus avellana,4,1,1,
,c01vip,Corylus avellana,2,2,0,
,c01vip,Acer pseudoplatanus,2,1,1,
,c01vip,Acer pseudoplatanus,1,2,0,
,c04vip,Fagus sylvatica,4,1,0,
,c04vip,Quercus robur,1,1,0,
,c04vip,Fagus sylvatica,1,1,0,
,c04vip,Fagus sylvatica,2,1,0,
,c04vip,Fagus sylvatica,1,2,0,
,c04vip,Fagus sylvatica,1,2,0,
,c04vip,Fagus sylvatica,2,1,0,
,c04vip,Fagus sylvatica,2,1,0,
,c04vip,Picea abies,2,1,0,
,c04vip,Fagus sylvatica,1,1,0,
,c04vip,Fagus sylvatica,1,2,0,
,c04vip,Fagus sylvatica,3,1,0,
,c04vip,Fagus sylvatica,1,1,0,
,c04vip,Sorbus aucuparia,6,1,0,
,c04vip,Fagus sylvatica,13,1,0,
,c04vip,Fagus sylvatica,1,2,0,
,c04vip,Fagus sylvatica,5,1,0,
,c04vip,Fagus sylvatica,1,2,0,
,c04vip,Fagus sylvatica,2,1,0,
,c04vip,Fagus sylvatica,4,1,0,
,c04vip,Picea abies,1,1,0,
,c04vip,Fagus sylvatica,1,2,0,
,c04vip,Picea abies,1,1,0,
,c04vip,Fagus sylvatica,2,1,0,
,c04vip,Fagus sylvatica,1,2,0,
,c04vip,Sorbus aucuparia,1,1,1,
,c04vip,Fagus sylvatica,1,1,0,
,c04vip,Sorbus aucuparia,1,1,0,
,c04vip,Fagus sylvatica,3,1,0,
,c04vip,Fagus sylvatica,1,1,0,
,c04vip,Fagus sylvatica,2,2,0,
,c04vip,Fagus sylvatica,6,1,0,
,c04vip,Fagus sylvatica,3,1,0,
,c04vip,Quercus robur,1,1,0,
,c04vip,Fagus sylvatica,5,1,0,
,c04vip,Sorbus aucuparia,2,1,0,
,c04vip,Quercus robur,2,1,0,
,c04vip,Quercus robur,1,2,0,
,c05,Acer pseudoplatanus,3,1,0,
,c05,Acer pseudoplatanus,2,1,1,
