GPS: garmin etrex 30,plot,Este (X),Norte (Y),alt
elevation: meters,cn133,"410767,017","5542422,784","362,897919"
position format: UTM UPS,cn134,"409790,682","5542134,980","356,780945"
software version: 3.50,cn135,"409798,923","5542011,729","380,894867"
sist. coord.: EPSG: 25832 - UTM 32N,cn136,409946,5542130,
,cn137,"410221,672","5542235,055","331,873077"
,cn170vip,"410438,297","5542871,228","277,914612"
,cn171road,"410276,768","5543269,513","282,158081"
,cn172,"410312,003","5543277,597","313,19519"
,cn173,410032,5543223,
,cn208vip,"409611,391","5541101,619","433,857147"
,cn209,"409904,155","5541090,459","400,336182"
,cn210,"411938,282","5541902,832","313,524536"
,cn211,"412415,478","5542135,665","274,493256"
,cn212,"412656,513","5542545,208","255,329178"
,cn238,"410150,000","5541652,730","377,992371"
,cn239vip,"409960,710","5541666,696","395,256042"
,cn274,"410026,049","5541290,815","389,28183"
,cn275,"410232,398","5541203,610","372,800079"
,cs107,"410809,223","5541321,978","279,642731"
,cs126,"412940,786","5541046,916","296,961792"
,cs127vip,"413132,517","5540695,828","365,123627"
,cs128,"413117,972","5540470,642","416,769165"
,cs129vip,"413241,402","5540277,027","453,186859"
,cs130,"413224,073","5540450,572","422,761261"
,cs131,"412912,768","5540504,778","391,458221"
,cs132,"412862,711","5540824,431","321,420563"
,cs140,"412446,359","5540614,694","352,055573"
,cs141vip,"412217,817","5540658,581","339,491638"
,cs142,"412345,243","5540553,736","343,404572"
,cs143,"412428,759","5540563,936","353,108917"
,cs144,"413011,995","5541380,946","228,529892"
,cs245,"415881,627","5541526,386","164,353165"
,cs246,414738,5541250,
,cs247,414677,5541426,
,cs249,"415394,700","5540874,589","432,926422"
,cs250vip,"415455,833","5541469,702","299,709717"
,cs257vip,"413340,476","5540677,335","389,593872"
,cs258,"413489,474","5540544,589","448,738037"
,cs259vip,"413611,261","5540670,626","427,265045"
,cs260road,"413460,165","5540806,516","395,997833"
,cs261,"413462,846","5540755,094","410,454376"
,cs262vip,"413770,339","5540994,463","355,130585"
,cs268,"415620,282","5541683,743","174,712616"
,cs269,"415542,852","5541612,566","228,966492"
,cs2road,"415073,917","5541577,945","300,531403"
,n15vip,"408091,961","5546300,003","270,706085"
,n16,"408357,460","5545808,887","273,756775"
,n17,"408481,385","5545958,683","295,931488"
,n18,"408389,752","5545771,300","298,273499"
,n51,"409393,944","5545399,759","324,555908"
,n52,"409394,386","5545590,704","262,277649"
,n53,"410156,607","5544688,148","290,616821"
,n54vip,"410532,534","5545105,233","307,031708"
,n55vip,"410789,726","5545378,745","189,228729"
,n56,"411252,891","5545290,079","306,276367"
,no13,"406953,266","5544377,449","447,975983"
,no14,"407201,345","5544736,032","408,616669"
,s01vip,"417134,566","5538836,208","248,15477"
,s02,"416880,314","5538736,054","322,518494"
,s03,"417201,060","5539186,817","321,874054"
,s04,"417235,887","5539608,533","291,737549"
,s05,"417064,448","5539627,865","324,99884"
,s06,"417392,904","5540080,965","234,62323"
,s19,"417083,480","5539894,356","235,615814"
,s20,"417122,684","5539940,568","220,196442"
,s21,"416932,550","5539853,657","274,985687"
,s22vip,"416704,104","5539732,428","341,261108"
,s23,"416711,193","5539902,577","287,915344"
,s24,"416869,100","5539986,422","290,453125"
,s25,"417310,533","5540028,522","252,088104"
,s63vip,"416285,864","5540502,388","362,677155"
,s64,"416363,189","5540222,159","391,479218"
,s65,"416402,764","5540333,306","351,881165"
,s66,"416422,085","5540349,797","341,25647"
,s67vip,"416602,262","5540285,602","302,015533"
