rejuvenation,,,,,
plot,Specie?,n,h,Browsing,notes
cn133,Fagus sylvatica,1,0,1,
cn133,Fagus sylvatica,1,0,0,
cn133,Fagus sylvatica,1,0,1,
cn133,Quercus petraea,1,0,1,
cn133,Crataegus sp,1,0,1,
cn133,Carpinus betulus,1,0,1,
cn133,Fagus sylvatica,1,0,0,side browsing
cn133,Crataegus sp,1,0,1,
cn133,Prunus avium,1,1,0,
cn135,Quercus petraea,1,0,1,from stump
cn170vip,Carpinus betulus,5,1,0,
cn170vip,Carpinus betulus,1,0,0,
cn170vip,Carpinus betulus,4,1,0,
cn170vip,Carpinus betulus,5,1,0,
cn170vip,Carpinus betulus,3,0,1,
cn170vip,Carpinus betulus,1,1,0,
cn171road,Crataegus sp,28,0,1,
cn171road,Carpinus betulus,1,0,1,
cn171road,?,2,0,1,
cn173,Crataegus sp,2,0,1,
cn173,Carpinus betulus,1,1,0,
cn208vip,Fagus sylvatica,1,0,1,
cn208vip,Fagus sylvatica,1,0,0,
cn208vip,Fagus sylvatica,1,0,1,
cn208vip,Fagus sylvatica,1,0,1,
cn208vip,Fagus sylvatica,1,0,1,
cn208vip,Carpinus betulus,1,0,1,
cn208vip,Crataegus sp,1,0,1,
cn208vip,Prunus spinosa,2,0,1,
cn208vip,Fagus sylvatica,2,0,1,
cn208vip,Carpinus betulus,1,0,1,
cn208vip,Prunus spinosa,3,0,1,
cn208vip,Quercus petraea,1,0,1,
cn208vip,Crataegus sp,1,0,1,
cn208vip,Fagus sylvatica,1,0,1,
cn208vip,Carpinus betulus,1,0,0,
cn208vip,Carpinus betulus,2,0,1,
cn208vip,Fagus sylvatica,2,0,1,
cn208vip,Crataegus sp,2,0,1,
cn208vip,Carpinus betulus,1,0,1,
cn208vip,Fagus sylvatica,1,0,0,
cn208vip,Crataegus sp,1,0,1,
cn208vip,Fagus sylvatica,1,0,1,
cn208vip,Carpinus betulus,1,0,1,
cn208vip,Sorbus aucuparia,1,0,1,
cn208vip,Crataegus sp,2,0,1,
cn208vip,Prunus spinosa,4,0,1,
cn208vip,Carpinus betulus,1,0,1,
cn208vip,Prunus spinosa,1,0,1,
cn208vip,Crataegus sp,1,0,1,
cn208vip,Prunus spinosa,4,0,1,
cn208vip,Carpinus betulus,1,0,1,
cn208vip,Fagus sylvatica,1,0,0,
cn208vip,Sorbus aucuparia,1,0,1,
cn208vip,Crataegus sp,1,0,1,
cn208vip,Prunus spinosa,2,0,1,
cn208vip,Sorbus aucuparia,1,0,1,
cn208vip,Carpinus betulus,2,0,1,
cn208vip,Crataegus sp,1,0,1,
cn208vip,Fagus sylvatica,3,0,1,
cn208vip,?,1,0,1,Prunus avium (foto lucas)
cn208vip,Carpinus betulus,1,0,1,
cn208vip,Crataegus sp,2,0,1,
cn208vip,Crataegus sp,1,0,1,underneath wood
cn208vip,Fagus sylvatica,1,0,1,
cn208vip,Carpinus betulus,3,0,1,
cn208vip,Crataegus sp,2,0,1,
cn208vip,Quercus petraea,3,0,1,
cn208vip,Fagus sylvatica,1,0,1,
cn208vip,Prunus spinosa,2,0,1,
cn208vip,Crataegus sp,3,0,1,
cn208vip,Betula pendula,2,0,0,from stump
cn208vip,Fagus sylvatica,1,0,1,dimorfismo folear?
cn208vip,?,1,0,1,all leaves eaten
cn208vip,Prunus spinosa,2,0,1,
cn208vip,?,1,0,0,Prunus avium (foto lucas)
cn208vip,Crataegus sp,2,0,1,
cn208vip,Prunus spinosa,1,0,1,
cn208vip,Fagus sylvatica,1,0,0,
cn208vip,Fagus sylvatica,2,0,1,
cn208vip,Crataegus sp,11,0,1,
cn209,Crataegus sp,1,1,1,
cn209,Corylus avellana,1,1,0,
cn210,Corylus avellana,1,1,0,
cn210,?,1,1,1,
cn211,Carpinus betulus,2,0,1,
cn211,Corylus avellana,5,1,0,
cn211,Crataegus sp,4,0,1,
cn211,Corylus avellana,4,1,0,
cn211,Corylus avellana,1,0,0,
cn211,Carpinus betulus,2,0,1,
cn211,Crataegus sp,3,0,1,
cn211,Corylus avellana,3,1,0,
cn238,Crataegus sp,1,1,0,
cn238,Crataegus sp,1,1,0,
cn238,Crataegus sp,1,1,0,
cn239vip,Sorbus torminalis,5,0,1,
cn239vip,Sorbus torminalis,5,0,0,
cn239vip,Crataegus sp,5,0,1,
cn239vip,Carpinus betulus,1,0,0,
cn239vip,Crataegus sp,3,0,1,de tocones cortados
cn239vip,Fagus sylvatica,1,0,1,
cn239vip,?,1,0,1,
cn239vip,Crataegus sp,2,1,1,
cn239vip,Crataegus sp,1,0,1,punta quebrada
cn239vip,Crataegus sp,3,0,1,
cn239vip,Crataegus sp,2,0,0,
cn274,Sorbus aucuparia,2,0,1,
cn275,Corylus avellana,4,1,0,
cn275,Corylus avellana,4,1,0,
cn275,Corylus avellana,3,0,1,
cs107,Corylus avellana,3,1,0,
cs107,Corylus avellana,2,1,0,
cs127vip,Carpinus betulus,1,1,0,
cs128,Picea abies,1,0,1,
cs141vip,Corylus avellana,2,1,0,
cs142,Fagus sylvatica,1,1,0,dry pix
cs143,Fagus sylvatica,1,0,1,de tocon
