Specie;wd (kg/m3);Cfraction;ref density;ref Cfraction
Acer platanoides;535;0,5;http://db.worldagroforestry.org//wd/species/acer_platanoides;
Acer pseudoplatanus;508;0,468;http://db.worldagroforestry.org//wd/species/acer_platanoides;Doraisami, Mahendra et al. (2022), GLOWCAD: A global database of woody tissue carbon concentrations/fractions, Dryad, Dataset, https://doi.org/10.5061/dryad.18931zcxk
Alnus glutinosa;439;0,5;http://db.worldagroforestry.org//wd/species/Alnus_glutinosa;tC/ha-1 from  paper Carbon stock estimations in a mediterranean riparian forest (Fernandes et al., 2020)
Betula pendula;650;0,495;https://www.greifswalder-zimmerer.de/rohdichte-des-holzes/;
Carpinus betulus;720;0,495;lwf-wissen_57-12.pdf;
Castanea sativa;650;0,471;https://www.greifswalder-zimmerer.de/rohdichte-des-holzes/;Doraisami, Mahendra et al. (2022), GLOWCAD: A global database of woody tissue carbon concentrations/fractions, Dryad, Dataset, https://doi.org/10.5061/dryad.18931zcxk
Corylus avellana;517;0,5;http://db.worldagroforestry.org//wd/species/Corylus_avellana;
Crataegus sp;620;0,5;http://db.worldagroforestry.org//wd/species/Corylus_avellana;
Fagus sylvatica;705;0,486;http://db.worldagroforestry.org//wd/species/Corylus_avellana;
Fraxinus excelsior;560;0,5;db.worldangroforestry.org;
Malus sylvestris;577;0,5;http://db.worldagroforestry.org//wd/species/malus_sylvestris;
Larix decidua;474;0,51;http://db.worldagroforestry.org//wd/species/Larix_decidua;
Picea abies;470;0,501;lwf-wissen_57-12.pdf y https://www.greifswalder-zimmerer.de/rohdichte-des-holzes/;
Pinus sylvestris;520;0,51;lwf-wissen_57-12.pdf y https://www.greifswalder-zimmerer.de/rohdichte-des-holzes/;
Prunus avium;474;0,486;http://db.worldagroforestry.org//wd/species/acer_platanoides;Doraisami, Mahendra et al. (2022), GLOWCAD: A global database of woody tissue carbon concentrations/fractions, Dryad, Dataset, https://doi.org/10.5061/dryad.18931zcxk
Prunus spinosa;490;0,5;** # other broadleaf = 0.49 (g/m3) & 0.49 (g C/ g dry mass);
Prunus spp.;490;0,5;Same as the other prunus;
Pseudotsuga menziesii;449;0,5;http://db.worldagroforestry.org//wd/genus/Pseudotsuga;
Quercus petraea;680;0,495;lwf-wissen_57-12.pdf;
Quercus robur;595;0,5;"Basic wood density, paper allocation of wood density in European oak (Q. Robber) by Jakubowski 2021Jakubowski, M.;
(9) (PDF) Allocation of Wood Density in European Oak (Quercus robur L.) Trees Grown under a Canopy of Scots Pine. Available from: https://www.researchgate.net/publication/352000225_Allocation_of_Wood_Density_in_European_Oak_Quercus_robur_L_Trees_Grown_under_a_Canopy_of_Scots_Pine[accessed Oct 24 2023].";675 kg/m3 : https://www.wood-database.com/english-oak/
Quercus rubra;587;0,5;Same as the other quercus, promedio en worldagroforestry.org ;700 density : https://www.wood-database.com/red-oak/
Salix caprea;396;0,5;http://db.worldagroforestry.org//wd/species/Corylus_avellana;
Sorbus aucuparia;590;0,5;http://www.holzwurm-page.de/holzarten/holzart/eberesche.htm;
Sorbus aria;672;0,5;http://db.worldagroforestry.org//wd/species/Corylus_avellana;
Sorbus torminalis;611;0,5;http://db.worldagroforestry.org//wd/species/Corylus_avellana;
Tilia cordata;422;0,5;http://db.worldagroforestry.org//wd/species/Corylus_avellana;
Unknown;490;0,5;# other broadleaf = 0.49 (g/m3) & 0.49 (g C/ g dry mass);
